review_id,render_set_id,phrase_id,section_id,event_range,active_version_id,preferred_version_id,quick_judgement,issue_type,severity,comment,suggested_revision,reviewer,reviewed_at,updated_at,review_status,gpt_review_pending,e_revision_plan_generated,e_generated,f_generation_pending,f_input_source,f_not_generated,f_generation_completed,f_version_id,experimental_render,review_only,production_grade
R2_REVIEW_XWC_P01_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P01_LOCAL_PHRASE,XWC_P01,XWC_P01_N01_to_XWC_P01_N04,C_QINIST_STYLE,F_FINAL_REVIEWED,usable,"[""phrase_unclear""]",medium,试试其它节拍,123——4——,human,,2026-06-20T11:16:49.192Z,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P02_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P02_LOCAL_PHRASE,XWC_P02,XWC_P02_N01_to_XWC_P02_N06,C_QINIST_STYLE,F_FINAL_REVIEWED,usable,"[""phrase_unclear""]",medium,试试其它节拍,12345——6——,human,,2026-06-20T11:17:25.705Z,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P03_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P03_LOCAL_PHRASE,XWC_P03,XWC_P03_N01_to_XWC_P03_N06,C_QINIST_STYLE,F_FINAL_REVIEWED,,[],low,同第2句,同第2句,human,,2026-06-20T11:17:37.086Z,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P03_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P03_LOCAL_PHRASE,XWC_P03,XWC_P03_N01_to_XWC_P03_N06,B_PHRASE,C_QINIST_STYLE,,[],low,,,human,2026-06-20T11:15:44.861773+00:00,2026-06-20T11:15:44.861775+00:00,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P03_LOCAL_PHRASE_A_LITERAL,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P03_LOCAL_PHRASE,XWC_P03,XWC_P03_N01_to_XWC_P03_N06,A_LITERAL,C_QINIST_STYLE,,[],low,,,human,2026-06-20T11:15:44.861779+00:00,2026-06-20T11:15:44.861781+00:00,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P04_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P04_LOCAL_PHRASE,XWC_P04,XWC_P04_N01_to_XWC_P04_N06,C_QINIST_STYLE,F_FINAL_REVIEWED,,[],low,同第2句,同第2句,human,,2026-06-20T11:17:39.966Z,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P05_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P05_LOCAL_PHRASE,XWC_P05,XWC_P05_N01_to_XWC_P05_N06,C_QINIST_STYLE,F_FINAL_REVIEWED,,[],low,同第2句,同第2句,human,,2026-06-20T11:17:43.569Z,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P05_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P05_LOCAL_PHRASE,XWC_P05,XWC_P05_N01_to_XWC_P05_N06,B_PHRASE,C_QINIST_STYLE,,[],low,,,human,2026-06-20T11:15:44.861803+00:00,2026-06-20T11:15:44.861806+00:00,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P04_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P04_LOCAL_PHRASE,XWC_P04,XWC_P04_N01_to_XWC_P04_N06,B_PHRASE,C_QINIST_STYLE,,[],low,,,human,2026-06-20T11:15:44.861811+00:00,2026-06-20T11:15:44.861814+00:00,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
R2_REVIEW_XWC_P02_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P02_LOCAL_PHRASE,XWC_P02,XWC_P02_N01_to_XWC_P02_N06,B_PHRASE,C_QINIST_STYLE,,[],low,,,human,2026-06-20T11:15:44.861818+00:00,2026-06-20T11:15:44.861820+00:00,draft,true,false,false,false,E_REVIEWED_USER_REVIEW,false,true,F_FINAL_REVIEWED,true,true,false
