asr_candidate_id,recording_session_id,recording_id,piece_id,qinist_id,batch_id,recording_take_no,batch_take_no,slate_no,script_id,source_raw_audio,expected_spoken_slate_text,asr_accepted_variants,recognized_slate_text,matched_spoken_slate_text,asr_start_s,asr_end_s,asr_confidence,asr_model,asr_language,match_status,candidate_status,requires_manual_review,review_only,production_grade,not_sample_assets,not_render_executed,not_ml_training_data,notes
ASR_RS_XWC_002_BAIYA_PILOT_batch02_T011,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T011,001,011,RS_XWC_002_011,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,零幺幺,零幺幺;零一一,011,011,3.220,5.000,0.911183,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
ASR_RS_XWC_002_BAIYA_PILOT_batch02_T012,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T012,002,012,RS_XWC_002_012,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,零幺二,零幺二;零一二,012,012,15.780,18.220,0.930929,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
ASR_RS_XWC_002_BAIYA_PILOT_batch02_T013,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T013,003,013,RS_XWC_002_013,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,零幺三,零幺三;零一三,013,013,26.340,28.140,0.979514,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
ASR_RS_XWC_002_BAIYA_PILOT_batch02_T014,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T014,004,014,RS_XWC_002_014,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,零幺四,零幺四;零一四,014,014,37.300,39.660,0.687223,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
ASR_RS_XWC_002_BAIYA_PILOT_batch02_T015,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T015,005,015,RS_XWC_002_015,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,零幺五,零幺五;零一五,015,015,47.160,49.240,0.943812,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,duplicate,ambiguous,true,true,false,true,true,true,"Multiple ASR transcript segments matched this slate; first segment is surfaced as candidate, manual review required. duplicate_segment_indices=5,11"
ASR_RS_XWC_002_BAIYA_PILOT_batch02_T016,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T016,006,016,RS_XWC_002_016,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,零幺六,零幺六;零一六,016,016,56.320,58.120,0.865142,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
ASR_RS_XWC_002_BAIYA_PILOT_batch02_T017,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T017,007,017,RS_XWC_002_017,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,零幺七,零幺七;零一七,017,017,65.760,68.440,0.934797,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
ASR_RS_XWC_002_BAIYA_PILOT_batch02_T018,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T018,008,018,RS_XWC_002_018,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,零幺八,零幺八;零一八,018,018,75.220,78.020,0.936200,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
ASR_RS_XWC_002_BAIYA_PILOT_batch02_T019,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T019,009,019,RS_XWC_002_019,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,零幺九,零幺九;零一九,019,019,83.940,86.740,0.982084,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
ASR_RS_XWC_002_BAIYA_PILOT_batch02_T020,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch02,T020,010,020,RS_XWC_002_020,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch02_T011-T020.wav,零二零,零二零,020,020,93.320,95.500,0.954074,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
