path,artifact_type,phase_origin,status,recommended_action,is_raw_master,is_generated_audio,is_failed_output,is_reusable_framework,is_safe_to_delete,is_safe_to_commit,notes
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/.DS_Store,pilot_context_file,RS_XWC_001_MVP_PILOT,do_not_use,review manually,false,false,true,false,false,true,Not part of minimum raw-only target state.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/KEEP_RAW_ONLY_POLICY.md,failure_policy_note,RS_XWC_001_MVP_PILOT_RESET,archive_failed_evidence,commit,false,false,true,false,false,true,Closure note that prevents promotion of failed outputs.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/PILOT_FAILURE_NOTE.md,failure_policy_note,RS_XWC_001_MVP_PILOT_RESET,archive_failed_evidence,commit,false,false,true,false,false,true,Closure note that prevents promotion of failed outputs.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/README.md,pilot_context_file,RS_XWC_001_MVP_PILOT,do_not_use,review manually,false,false,true,false,false,true,Not part of minimum raw-only target state.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/.DS_Store,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,false,true,false,true,true,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/A7_ACTIVE_INPUTS.md,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,false,true,false,true,true,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/A7_INPUT_LOCK.json,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,false,true,false,true,true,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/A8_ACTIVE_OUTPUTS.md,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,false,true,false,true,true,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/A8_ACTIVE_OUTPUTS_V2.md,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,false,true,false,true,true,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/README.md,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,false,true,false,true,true,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_preview.csv,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,false,true,false,true,true,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_preview_audit.csv,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,false,true,false,true,true,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T001_RS_XWC_001_001_SAN_TIAO_7_001_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T002_RS_XWC_001_002_SAN_GOU_5_002_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T003_RS_XWC_001_003_SAN_TIAO_7_003_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T004_RS_XWC_001_004_AN_RING_10_GOU_5_004_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T005_RS_XWC_001_005_AN_RING_10_GOU_5_005_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T006_RS_XWC_001_006_SAN_TIAO_7_006_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T007_RS_XWC_001_007_SAN_GOU_5_007_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T008_RS_XWC_001_008_SAN_TIAO_6_008_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T009_RS_XWC_001_009_AN_RING_10_GOU_4_009_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T010_RS_XWC_001_010_AN_RING_10_GOU_4_010_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T011_RS_XWC_001_011_SAN_TIAO_7_011_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T012_RS_XWC_001_012_AN_THUMB_9_GOU_4_012_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T013_RS_XWC_001_013_AN_THUMB_9_GOU_4_013_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T014_RS_XWC_001_014_SAN_TIAO_6_014_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T015_RS_XWC_001_015_SAN_GOU_4_015_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T016_RS_XWC_001_016_SAN_TIAO_5_016_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T017_RS_XWC_001_017_AN_RING_10_8_GOU_3_017_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T018_RS_XWC_001_018_AN_RING_10_8_GOU_3_018_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T019_RS_XWC_001_019_SAN_TIAO_6_019_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T020_RS_XWC_001_020_AN_THUMB_9_GOU_3_020_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T021_RS_XWC_001_021_AN_THUMB_9_GOU_3_021_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T022_RS_XWC_001_022_SAN_TIAO_5_022_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T023_RS_XWC_001_023_SAN_GOU_3_023_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T024_RS_XWC_001_024_SAN_TIAO_4_024_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B01_T025_RS_XWC_001_025_AN_RING_10_GOU_2_025_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B02_T026_RS_XWC_001_026_AN_RING_10_GOU_2_026_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B02_T027_RS_XWC_001_027_SAN_TIAO_5_027_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B02_T028_RS_XWC_001_028_AN_THUMB_9_GOU_2_028_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B02_T029_RS_XWC_001_029_AN_THUMB_9_GOU_2_029_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B02_T030_RS_XWC_001_030_SAN_TIAO_4_030_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B02_T031_RS_XWC_001_031_SAN_GOU_2_031_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B03_T032_RS_XWC_001_032_SAN_TIAO_3_032_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B03_T033_RS_XWC_001_033_AN_RING_10_GOU_1_033_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B03_T034_RS_XWC_001_034_AN_RING_10_GOU_1_034_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B03_T035_RS_XWC_001_035_SAN_TIAO_4_035_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B03_T036_RS_XWC_001_036_AN_THUMB_9_GOU_1_036_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B03_T037_RS_XWC_001_037_AN_THUMB_9_GOU_1_037_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B03_T038_RS_XWC_001_038_SAN_TIAO_4_038_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B03_T039_RS_XWC_001_039_AN_THUMB_9_GOU_1_039_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B03_T040_RS_XWC_001_040_AN_THUMB_9_GOU_1_040_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B03_T041_RS_XWC_001_041_SAN_TIAO_5_041_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B03_T042_RS_XWC_001_042_AN_THUMB_9_GOU_2_042_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B03_T043_RS_XWC_001_043_AN_THUMB_9_GOU_2_043_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B03_T044_RS_XWC_001_044_SAN_TIAO_6_044_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
02_recordings/raw_audio/QINIST_001/XWC/RS_XWC_001_MVP_PILOT/experimental_split/anchor_locked_unit_previews/UNITPREVIEW_B03_T045_RS_XWC_001_045_AN_THUMB_9_GOU_3_045_plus_performance.wav,generated_experimental_split_artifact,Phase 1B-3E experimental split sandbox,delete_generated_failed_output,remove from active sandbox,false,true,true,false,true,false,Failed pilot output; not valid sample input.
