glyph_group_id,source_image,approx_bbox,proposed_reading,confidence,needs_review_reason,user_decision,user_correction,notes
LXY-P01-PH05-G001,phrase5_front_half,"0,0,205,145","大指绰上七徽，勾六弦",human_corrected_medium_high,keep as review draft not score authority,,,"绰与注相对；绰上"
LXY-P01-PH05-G002,phrase5_front_half,"108,18,205,130","大指注下七徽，挑七弦",human_corrected_high,upper blank inherits prior 大指七徽,,,"context_inherited=true"
LXY-P01-PH05-G003,phrase5_front_half,"236,8,330,146","大指绰上七徽，勾六弦",human_corrected_high,corrected from previous 注下/勾七 guess,,,"user corrected"
LXY-P01-PH05-G004,phrase5_front_half,"340,0,405,146",上六四,human_corrected_high,non-sounding position transition by default,,,"user corrected"
LXY-P01-PH05-G005,phrase5_front_half,"558,0,658,147","大指注下七徽，抹挑七弦",human_corrected_high,compound action expansion remains reviewable,,,"matched COMP-031"
LXY-P01-PH05-G006,phrase5_front_half,"758,24,840,124",双吟,medium,attachment target needs review,,,"matched COMP-034"
LXY-P01-PH05-G007,phrase5_front_half,"882,0,962,142","名指七六徽，掐起",human_corrected_high,special-technique sounding policy remains reviewable,,,"matched COMP-008/007/006/022"
LXY-P01-PH05-G008,phrase5_front_half,"968,0,1172,144","承前挑四弦；名指注下七九徽，勾三弦",human_corrected_high,first event inherits prior context; 七九 is user-corrected evidence,,,"matched COMP-018/011/008/025/007/020/016"
LXY-P01-PH05-G009,phrase5_front_half,"1180,8,1250,145",落指猱,medium,host position and sounding policy need review,,,"matched COMP-035"
LXY-P01-PH05-G010,phrase5_front_half,"1260,0,1356,146","大指七徽，掩三弦",human_corrected_high,keep as review draft not score authority,,,"matched COMP-012/007/036/016"
LXY-P01-PH05-G011,phrase5_back_half,"18,16,100,140",承前勾四,human_corrected_high,勾 plus 四 must be read as 勾四 when construction supports it,,,"matched COMP-020/011; context_inherited=true"
LXY-P01-PH05-G012,phrase5_back_half,"150,36,232,128",少息,human_corrected_medium_high,non-sounding timing marker; not 就,,,"matched COMP-003"
LXY-P01-PH05-G013,phrase5_back_half,"276,8,368,144",上六四,human_corrected_high,corrected from 上六？,,,"matched COMP-026/006/011"
LXY-P01-PH05-G014,phrase5_back_half,"420,0,610,148",进五六复,human_corrected_high,corrected from previous uncertain target,,,"matched COMP-024/004/006"
LXY-P01-PH05-G015,phrase5_back_half,"650,0,824,146","下七，名指七六徽，掐起",human_corrected_high,attachment and sounding policy remain reviewable,,,"matched COMP-007/008/006/022"
LXY-P01-PH05-G016,phrase5_back_half,"916,0,1138,148","剔四弦，散三如一，句号",human_corrected_high,final construction includes newly registered 剔; punctuation non-sounding,,,"matched COMP-037/011/027/016/032/005"
