glyph_group_id,visual_region,approximate_bbox,raw_visual_description,tentative_terms,primary_sound_type_candidate,right_hand_candidate,position_transition_candidate,special_technique_candidate,parse_confidence,needs_review_reason,user_decision,review_status
LXY-P01-S1-G001,first_section_row_1,"[130, 266, 178, 320]","Leftmost first-row group under visible 5.6; 色-like upper form, 勾-like lower strokes, and small side marks.",勾,sounding_candidate,勾,,,low,LOW_CONFIDENCE_VISUAL_MATCH_NEEDS_HUMAN_REVIEW,,needs_review
LXY-P01-S1-G002,first_section_row_1,"[178, 266, 228, 320]",Compact group under visible 1; lower component resembles 勾 or hook-like mark.,勾,sounding_candidate,勾,,,low,LOW_CONFIDENCE_VISUAL_MATCH_NEEDS_HUMAN_REVIEW,,needs_review
LXY-P01-S1-G003,first_section_row_1,"[238, 266, 282, 324]",Group under visible 111; prominent 蓬/逢-like composite with small 正-like mark; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G004,first_section_row_1,"[298, 266, 344, 324]",Group under visible 1.6; 仓-like or side-note-like component; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G005,first_section_row_1,"[354, 266, 398, 323]",Group under visible 5; 色/钩-like shape with multiple small strokes.,勾,sounding_candidate,勾,,,low,LOW_CONFIDENCE_VISUAL_MATCH_NEEDS_HUMAN_REVIEW,,needs_review
LXY-P01-S1-G006,first_section_row_1,"[415, 266, 466, 324]",Group under visible 032; 首/屈-like composite; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G007,first_section_row_1,"[480, 266, 525, 323]",Group under visible 12; 勾/四-like lower shape plus side tick.,勾,sounding_candidate,勾,,,low,LOW_CONFIDENCE_VISUAL_MATCH_NEEDS_HUMAN_REVIEW,,needs_review
LXY-P01-S1-G008,first_section_row_1,"[543, 266, 580, 322]",Rightmost first-row group under visible 1; 勾正-like or hook-plus-straight form.,勾,sounding_candidate,勾,,,low,LOW_CONFIDENCE_VISUAL_MATCH_NEEDS_HUMAN_REVIEW,,needs_review
LXY-P01-S1-G009,first_section_row_2,"[142, 340, 176, 395]",Standalone tall composite under visible 1-- on second line; 蓬-like lower shape; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G010,first_section_row_2,"[238, 340, 276, 395]",Group under visible 111 on second line; 蓬-like composite; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G011,first_section_row_2,"[296, 340, 335, 397]",Group under visible 21; 巽首-like stacked form; possible side-note/context material.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G012,first_section_row_2,"[354, 340, 410, 397]",Group under visible 666; 蓬干-like or multi-component form; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G013,first_section_row_2,"[425, 340, 456, 397]",Group under visible 61; 去/立-like small components; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G014,first_section_row_2,"[480, 340, 530, 397]",Group under visible 6.5; 花/蓬-like complex form; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G015,first_section_row_2,"[540, 340, 575, 397]",Group under visible 3; 选/笼-like lower form; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G016,first_section_row_3,"[142, 416, 176, 480]",Group under visible 3 on third line; 盖-like large lower component; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G017,first_section_row_3,"[190, 416, 230, 480]",Group under visible 011; 登-like stacked composite; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G018,first_section_row_3,"[245, 416, 280, 480]",Group under visible 121; 立-like component visible; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G019,first_section_row_3,"[300, 416, 340, 480]",Group under visible 666; 蓬干-like form; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G020,first_section_row_3,"[392, 416, 428, 480]",Group under visible 66; 去/立-like components; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G021,first_section_row_3,"[435, 416, 475, 480]",Group under visible 121; 范/蓄-like composite; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
LXY-P01-S1-G022,first_section_row_3,"[495, 416, 545, 480]",Group under visible 6765; dense 范晶笼-like multi-component form; unresolved.,UNRESOLVED,unknown_visible_glyph_candidate,,,,low,UNCERTAIN_GLYPH_GROUP,,needs_review
