phrase_id,phrase_order,event_order_in_phrase,global_event_order,event_id,event_label 或 Pxx/Nxx,gesture_id,normalized_name,primary_sound_type,realization_variant,A_LITERAL_recording_take_no,B_PHRASE_recording_take_no,C_QINIST_STYLE_recording_take_no,D_TEACHING_DIAGNOSTIC_recording_take_no,A_LITERAL_source_split_audio,B_PHRASE_source_split_audio,C_QINIST_STYLE_source_split_audio,D_TEACHING_DIAGNOSTIC_source_split_audio,notes
XWC_P01_LOCAL_PHRASE,1,1,1,XWC_P01_N01,XWC_P01_N01,SAN_TIAO_7,散挑七,散音,clean,T001,T001,T001,T001,clean_previews/T001_clean_preview.wav,clean_previews/T001_clean_preview.wav,clean_previews/T001_clean_preview.wav,clean_previews/T001_clean_preview.wav,
XWC_P01_LOCAL_PHRASE,1,2,2,XWC_P01_N02,XWC_P01_N02,SAN_GOU_5,散勾五,散音,clean,T002,T002,T002,T002,clean_previews/T002_clean_preview.wav,clean_previews/T002_clean_preview.wav,clean_previews/T002_clean_preview.wav,clean_previews/T002_clean_preview.wav,
XWC_P01_LOCAL_PHRASE,1,3,3,XWC_P01_N03,XWC_P01_N03,SAN_TIAO_7,散挑七,散音,clean,T003,T003,T003,T003,clean_previews/T003_clean_preview.wav,clean_previews/T003_clean_preview.wav,clean_previews/T003_clean_preview.wav,clean_previews/T003_clean_preview.wav,
XWC_P01_LOCAL_PHRASE,1,4,4,XWC_P01_N04,XWC_P01_N04,AN_RING_10_GOU_5,名十勾五,按音,clean,T004,T005,T005,T004,clean_previews/T004_clean_preview.wav,clean_previews/T005_clean_preview.wav,clean_previews/T005_clean_preview.wav,clean_previews/T004_clean_preview.wav,谱面未明示绰；三曼默认可优先 chuo realization
XWC_P02_LOCAL_PHRASE,2,1,5,XWC_P02_N01,XWC_P02_N01,SAN_TIAO_7,散挑七,散音,clean,T006,T006,T006,T006,clean_previews/T006_clean_preview.wav,clean_previews/T006_clean_preview.wav,clean_previews/T006_clean_preview.wav,clean_previews/T006_clean_preview.wav,
XWC_P02_LOCAL_PHRASE,2,2,6,XWC_P02_N02,XWC_P02_N02,SAN_GOU_5,散勾五,散音,clean,T007,T007,T007,T007,clean_previews/T007_clean_preview.wav,clean_previews/T007_clean_preview.wav,clean_previews/T007_clean_preview.wav,clean_previews/T007_clean_preview.wav,
XWC_P02_LOCAL_PHRASE,2,3,7,XWC_P02_N03,XWC_P02_N03,SAN_TIAO_6,散挑六,散音,clean,T008,T008,T008,T008,clean_previews/T008_clean_preview.wav,clean_previews/T008_clean_preview.wav,clean_previews/T008_clean_preview.wav,clean_previews/T008_clean_preview.wav,
XWC_P02_LOCAL_PHRASE,2,4,8,XWC_P02_N04,XWC_P02_N04,AN_RING_10_GOU_4,名十勾四,按音,clean,T009,T009,T010,T009,clean_previews/T009_clean_preview.wav,clean_previews/T009_clean_preview.wav,clean_previews/T010_clean_preview.wav,clean_previews/T009_clean_preview.wav,谱面未明示绰；三曼默认可优先 chuo realization
XWC_P02_LOCAL_PHRASE,2,5,9,XWC_P02_N05,XWC_P02_N05,SAN_TIAO_7,散挑七,散音,clean,T011,T011,T011,T011,clean_previews/T011_clean_preview.wav,clean_previews/T011_clean_preview.wav,clean_previews/T011_clean_preview.wav,clean_previews/T011_clean_preview.wav,
XWC_P02_LOCAL_PHRASE,2,6,10,XWC_P02_N06,XWC_P02_N06,AN_THUMB_9_GOU_4,大九勾四,按音,clean,T012,T013,T013,T012,clean_previews/T012_clean_preview.wav,clean_previews/T013_clean_preview.wav,clean_previews/T013_clean_preview.wav,clean_previews/T012_clean_preview.wav,谱面未明示绰；三曼默认可优先 chuo realization
XWC_P03_LOCAL_PHRASE,3,1,11,XWC_P03_N01,XWC_P03_N01,SAN_TIAO_6,散挑六,散音,clean,T014,T014,T014,T014,clean_previews/T014_clean_preview.wav,clean_previews/T014_clean_preview.wav,clean_previews/T014_clean_preview.wav,clean_previews/T014_clean_preview.wav,
XWC_P03_LOCAL_PHRASE,3,2,12,XWC_P03_N02,XWC_P03_N02,SAN_GOU_4,散勾四,散音,clean,T015,T015,T015,T015,clean_previews/T015_clean_preview.wav,clean_previews/T015_clean_preview.wav,clean_previews/T015_clean_preview.wav,clean_previews/T015_clean_preview.wav,
XWC_P03_LOCAL_PHRASE,3,3,13,XWC_P03_N03,XWC_P03_N03,SAN_TIAO_5,散挑五,散音,clean,T016,T016,T016,T016,clean_previews/T016_clean_preview.wav,clean_previews/T016_clean_preview.wav,clean_previews/T016_clean_preview.wav,clean_previews/T016_clean_preview.wav,
XWC_P03_LOCAL_PHRASE,3,4,14,XWC_P03_N04,XWC_P03_N04,AN_RING_10_8_GOU_3,名十徽八勾三,按音,clean,T017,T017,T018,T017,clean_previews/T017_clean_preview.wav,clean_previews/T017_clean_preview.wav,clean_previews/T018_clean_preview.wav,clean_previews/T017_clean_preview.wav,谱面明示注；渲染优先 zhu realization
