recording_session_id,recording_id,piece_id,qinist_id,recording_take_no,batch_id,batch_take_no,script_id,event_id,event_range,gesture_id,normalized_name,primary_sound_type,expected_sample_type,realization_variant,realization_pre_action,is_context_take,is_special_take,slate_number,spoken_slate_text,asr_accepted_variants,recording_instruction,gap_instruction,tail_instruction,retake_policy,raw_file_policy,notes
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,001,batch01,001,RS_XWC_002_001,XWC_P01_N01,,SAN_TIAO_7,散挑七,散音,atomic,straight,none,false,false,001,零零幺,零零幺;零零一,弹散音挑七弦，保留余音,先报号，报号后停 0.8 秒再弹。,弹完保留完整自然尾音；尾音结束后至少 1.2 秒再报下一条。,retake 不删除；直接口播本条编号 retake02/retake03 后重录；bad take 也保留并进入 manifest。,优先 WAV 48kHz/24-bit；raw audio 原始文件不剪、不覆盖、不删除；本轮只生成 draft。,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | baseline straight
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,002,batch01,002,RS_XWC_002_002,XWC_P01_N02,,SAN_GOU_5,散勾五,散音,atomic,straight,none,false,false,002,零零二,零零二,弹散音勾五弦，保留余音,先报号，报号后停 0.8 秒再弹。,弹完保留完整自然尾音；尾音结束后至少 1.2 秒再报下一条。,retake 不删除；直接口播本条编号 retake02/retake03 后重录；bad take 也保留并进入 manifest。,优先 WAV 48kHz/24-bit；raw audio 原始文件不剪、不覆盖、不删除；本轮只生成 draft。,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | baseline straight
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,003,batch01,003,RS_XWC_002_003,XWC_P01_N03,,SAN_TIAO_7,散挑七,散音,atomic,straight,none,false,false,003,零零三,零零三,弹散音挑七弦，保留余音,先报号，报号后停 0.8 秒再弹。,弹完保留完整自然尾音；尾音结束后至少 1.2 秒再报下一条。,retake 不删除；直接口播本条编号 retake02/retake03 后重录；bad take 也保留并进入 manifest。,优先 WAV 48kHz/24-bit；raw audio 原始文件不剪、不覆盖、不删除；本轮只生成 draft。,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | baseline straight
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,004,batch01,004,RS_XWC_002_004,XWC_P01_N04,,AN_RING_10_GOU_5,名十勾五,按音,atomic,straight,none,false,false,004,零零四,零零四,名指按十徽，勾五弦，直按版本，不主动加绰，保留余音,先报号，报号后停 0.8 秒再弹。,弹完保留完整自然尾音；尾音结束后至少 1.2 秒再报下一条。,retake 不删除；直接口播本条编号 retake02/retake03 后重录；bad take 也保留并进入 manifest。,优先 WAV 48kHz/24-bit；raw audio 原始文件不剪、不覆盖、不删除；本轮只生成 draft。,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | baseline straight
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,005,batch01,005,RS_XWC_002_005,XWC_P01_N04,,AN_RING_10_GOU_5,名十勾五,按音,atomic,chuo,chuo,false,false,005,零零五,零零五,名指十徽勾五弦，按 realization_variant=chuo 加入自然绰音，注意绰不要夸张，保留余音,先报号，报号后停 0.8 秒再弹。,弹完保留完整自然尾音；尾音结束后至少 1.2 秒再报下一条。,retake 不删除；直接口播本条编号 retake02/retake03 后重录；bad take 也保留并进入 manifest。,优先 WAV 48kHz/24-bit；raw audio 原始文件不剪、不覆盖、不删除；本轮只生成 draft。,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | 普通按音默认绰 realization
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,006,batch01,006,RS_XWC_002_006,XWC_P02_N01,,SAN_TIAO_7,散挑七,散音,atomic,straight,none,false,false,006,零零六,零零六,弹散音挑七弦，保留余音,先报号，报号后停 0.8 秒再弹。,弹完保留完整自然尾音；尾音结束后至少 1.2 秒再报下一条。,retake 不删除；直接口播本条编号 retake02/retake03 后重录；bad take 也保留并进入 manifest。,优先 WAV 48kHz/24-bit；raw audio 原始文件不剪、不覆盖、不删除；本轮只生成 draft。,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | baseline straight
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,007,batch01,007,RS_XWC_002_007,XWC_P02_N02,,SAN_GOU_5,散勾五,散音,atomic,straight,none,false,false,007,零零七,零零七,弹散音勾五弦，保留余音,先报号，报号后停 0.8 秒再弹。,弹完保留完整自然尾音；尾音结束后至少 1.2 秒再报下一条。,retake 不删除；直接口播本条编号 retake02/retake03 后重录；bad take 也保留并进入 manifest。,优先 WAV 48kHz/24-bit；raw audio 原始文件不剪、不覆盖、不删除；本轮只生成 draft。,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | baseline straight
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,008,batch01,008,RS_XWC_002_008,XWC_P02_N03,,SAN_TIAO_6,散挑六,散音,atomic,straight,none,false,false,008,零零八,零零八,弹散音挑六弦，保留余音,先报号，报号后停 0.8 秒再弹。,弹完保留完整自然尾音；尾音结束后至少 1.2 秒再报下一条。,retake 不删除；直接口播本条编号 retake02/retake03 后重录；bad take 也保留并进入 manifest。,优先 WAV 48kHz/24-bit；raw audio 原始文件不剪、不覆盖、不删除；本轮只生成 draft。,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | baseline straight
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,009,batch01,009,RS_XWC_002_009,XWC_P02_N04,,AN_RING_10_GOU_4,名十勾四,按音,atomic,straight,none,false,false,009,零零九,零零九,名指按十徽，勾四弦，直按版本，不主动加绰，保留余音,先报号，报号后停 0.8 秒再弹。,弹完保留完整自然尾音；尾音结束后至少 1.2 秒再报下一条。,retake 不删除；直接口播本条编号 retake02/retake03 后重录；bad take 也保留并进入 manifest。,优先 WAV 48kHz/24-bit；raw audio 原始文件不剪、不覆盖、不删除；本轮只生成 draft。,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | baseline straight
RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,010,batch01,010,RS_XWC_002_010,XWC_P02_N04,,AN_RING_10_GOU_4,名十勾四,按音,atomic,chuo,chuo,false,false,010,零幺零,零幺零;零一零,名指十徽勾四弦，按 realization_variant=chuo 加入自然绰音，注意绰不要夸张，保留余音,先报号，报号后停 0.8 秒再弹。,弹完保留完整自然尾音；尾音结束后至少 1.2 秒再报下一条。,retake 不删除；直接口播本条编号 retake02/retake03 后重录；bad take 也保留并进入 manifest。,优先 WAV 48kHz/24-bit；raw audio 原始文件不剪、不覆盖、不删除；本轮只生成 draft。,source_plan_kind=legacy_xwc_bridge_for_baiya_reshoot | future_plan_kind=dapu_event_ir_recording_plan | draft_pending_user_review | 普通按音默认绰 realization
