path,classification,risk,latest_status,reason,recommended_next_action
.agents/skills/cyber_guqin_mvp_workflow/SKILL.md,keep,low,present,"P1-F workflow skill exists and defines gates/authority/stop rules.","Keep; link from R1 policy docs."
docs/cyber_guqin/XWC_F_REPRODUCTION_RUNBOOK.md,keep,low,present,"User-facing dry-run runbook exists; old R0 absence finding is obsolete.","Keep; add docs index."
docs/cyber_guqin/SCRIPT_REGISTRY.md,keep,low,present,"Script safety registry exists and classifies generic vs historical scripts.","Keep; connect from root/index docs."
examples/cyber_guqin/,keep,low,present,"Example manifests and starter kit examples exist; old R0 absence finding is obsolete.","Keep; add examples index if needed."
scripts/generate_recording_plan_from_dapu_ir.py,keep,medium,present,"Generic dry-run-first recording-plan entrypoint.","Keep; do not execute in hygiene tasks."
scripts/render_abcd_from_manifest.py,keep,medium,present,"Generic dry-run-first ABCD manifest planner.","Keep; do not execute in hygiene tasks."
scripts/cyber_guqin_reproduction_lib.py,keep,medium,present,"Shared authority and sandbox guard helpers.","Keep."
tools/cg-varw/backend/scripts/generate_final_reviewed_render.py,keep,high,present,"Generic final reviewed render planner; execute path is high-risk and sandbox-gated.","Keep; do not run without explicit authorization."
tools/cg-varw/backend/scripts/verify_r2_render_manifest.py,keep,medium,present,"Read-only R2/final manifest verifier; rejects derived/forbidden authorities.","Keep; do not run in this R0."
tests/test_self_contained_reproduction_toolchain.py,keep,low,present,"P1-F toolchain test exists; tests were not run.","Keep."
scripts/generate_baiya_recording_plan.py,forbidden-to-touch,critical,missing,"Protected historical template path is not present in current HEAD.","If restored or untracked later, record protected-if-restored and do not process in hygiene tasks."
04_outputs/XWC/RS_XWC_002_BAIYA_PILOT/abcd_experimental_render/r2_review_drafts/latest/r2_review_state.latest.json,keep,critical,present,"Canonical R2 latest JSON authority.","Keep as canonical authority."
04_outputs/XWC/RS_XWC_002_BAIYA_PILOT/abcd_experimental_render/r2_review_drafts/latest/*.csv,index-only,medium,present,"Derived R2 exports near canonical JSON may be mistaken for authority.","Label derived in R1 docs; do not promote to canonical."
04_outputs/XWC/RS_XWC_002_BAIYA_PILOT/abcd_experimental_render/r2_review_drafts/latest/*.yaml,index-only,medium,present,"Derived R2 exports near canonical JSON may be mistaken for authority.","Label derived in R1 docs; do not promote to canonical."
04_outputs/XWC/RS_XWC_002_BAIYA_PILOT/abcd_experimental_render/F_FINAL_REVIEWED/,forbidden-to-touch,critical,present,"Accepted XWC F baseline/regression case/engineering reference.","No action without explicit baseline task."
04_outputs/XWC/RS_XWC_002_BAIYA_PILOT/abcd_experimental_render/F_FINAL_REVIEWED/input_snapshot/,forbidden-to-touch,critical,present,"Accepted F input snapshot/provenance.","No action."
03_samples/sample_assets.csv,forbidden-to-touch,critical,present,"Protected sample asset index.","No action."
03_samples/recording_segments.csv,forbidden-to-touch,critical,present,"Protected recording segment index.","No action."
recording_items_enriched.jsonl,forbidden-to-touch,critical,missing,"Protected future ingest output name.","No action."
README.md,index-only,low,present,"Content updated to current state but terminal output still shows mojibake/display issue.","R1 docs can clarify encoding/current entrypoints; no cleanup."
reports/REPORTS_INDEX.md,index-only,medium,present,"Index still describes older archive layout and does not cover P1-F/starter-kit/latest report clusters.","Refresh in R1."
reports/,index-only,medium,present,"Root has many current design/toolchain/reproduction reports.","Add report taxonomy and index in R1."
reports/archive/,keep,medium,present,"Historical reports now organized under 2026-06; do not clean in R0.","Keep; index only."
archive/xwc_mvp_file_audit_cleanup_20260621/,archive-candidate,high,present,"Large historical cleanup snapshot remains in repo.","Separate authorization required before any move/delete/archive."
06_docs/,index-only,medium,present,"Legacy V1 docs coexist with new docs/cyber_guqin.","Add status/index labels in R1."
05_scripts/,index-only,medium,present,"Phase 0.1 runtime scripts coexist with generic scripts.","Add script category labels; do not run renderer."
05_scripts/render_audio.py,forbidden-to-touch,high,present,"Runtime renderer-like script; renderer forbidden in this task.","Do not execute."
scripts/render_xwc_abcd_from_planning.py,index-only,high,present,"Historical XWC/Baiya render script; registry marks it historical/high-risk.","Keep as historical-only; do not execute."
tools/cg-varw/backend/scripts/generate_xwc_f_final_reviewed.py,index-only,critical,present,"Historical XWC/Baiya F generator; reads/writes audio/review data per registry.","Keep historical-only; do not execute."
tools/cg-varw/backend/scripts/refresh_xwc_r1_full_tail_and_regenerate_f.py,index-only,critical,present,"Historical repair/regenerate script; forbidden as workflow entry.","Keep historical-only; do not execute."
tools/cg-varw/backend/scripts/verify_r2_canonical_draft.py,index-only,medium,present,"Older R2 verifier mostly superseded by generic verifier.","Label in R1; do not execute unless separately authorized."
tools/cg-varw/docs/,index-only,medium,present,"Chronological CG-VARW reports need index/rollup.","Add docs index in R1."
tools/cg-varw/review_outputs/,keep,medium,present,"Generated local workbench outputs area with .gitignore.","Keep non-canonical."
tools/cg-varw/sample_workspace/,keep,low,present,"Synthetic demo workspace, not real authority.","Keep; label demo fixture."
04_outputs/xianwengcao/,archive-candidate,medium,present,"Old dummy/runtime render outputs.","No archive/delete without separate authorization."
04_outputs/XWC/RS_XWC_002_BAIYA_PILOT/abcd_experimental_render/F_FINAL_REVIEWED_BEFORE_FULL_TAIL_FIX/,archive-candidate,high,present,"Historical pre-full-tail-fix F snapshot.","No archive/delete without separate authorization."
tools/cg-varw/backend/.venv/,delete-candidate,medium,present,"Local Python virtual environment inside repo tree.","Do not clean in R0; future cleanup only with approval."
tools/cg-varw/frontend/node_modules/,delete-candidate,medium,present,"Local frontend dependencies inside repo tree.","Do not clean in R0."
tools/cg-varw/frontend/dist/,delete-candidate,medium,present,"Local frontend build artifact.","Do not clean in R0."
__pycache__ and *.pyc,delete-candidate,low,present,"Python cache artifacts are present.","Do not clean in R0."
.gitignore,index-only,low,present,"Duplicate patterns remain and root does not centrally document all local generated artifact policy.","R1/R2 policy docs or separate ignore hygiene task."
