phrase_id,phrase_order,section_id,score_phrase_label,event_count,event_range,first_event_id,last_event_id,event_ids,gesture_ids,normalized_names,source_basis,lock_status,notes
XWC_P01_LOCAL_PHRASE,1,XWC_P01,第1句 / XWC_P01,4,XWC_P01_N01_to_XWC_P01_N04,XWC_P01_N01,XWC_P01_N04,XWC_P01_N01;XWC_P01_N02;XWC_P01_N03;XWC_P01_N04,SAN_TIAO_7;SAN_GOU_5;SAN_TIAO_7;AN_RING_10_GOU_5,散挑七;散勾五;散挑七;名十勾五,score_events.csv phrase_id/event_role + gesture_templates.csv; render alignment only for ABCD time ranges; sample_selection_decision only for sample provenance,draft,谱面句法锁定草案；不得标为 final/verified；正式 E 前需用户确认。
XWC_P02_LOCAL_PHRASE,2,XWC_P02,第2句 / XWC_P02,6,XWC_P02_N01_to_XWC_P02_N06,XWC_P02_N01,XWC_P02_N06,XWC_P02_N01;XWC_P02_N02;XWC_P02_N03;XWC_P02_N04;XWC_P02_N05;XWC_P02_N06,SAN_TIAO_7;SAN_GOU_5;SAN_TIAO_6;AN_RING_10_GOU_4;SAN_TIAO_7;AN_THUMB_9_GOU_4,散挑七;散勾五;散挑六;名十勾四;散挑七;大九勾四,score_events.csv phrase_id/event_role + gesture_templates.csv; render alignment only for ABCD time ranges; sample_selection_decision only for sample provenance,draft,谱面句法锁定草案；不得标为 final/verified；正式 E 前需用户确认。
XWC_P03_LOCAL_PHRASE,3,XWC_P03,第3句 / XWC_P03,6,XWC_P03_N01_to_XWC_P03_N06,XWC_P03_N01,XWC_P03_N06,XWC_P03_N01;XWC_P03_N02;XWC_P03_N03;XWC_P03_N04;XWC_P03_N05;XWC_P03_N06,SAN_TIAO_6;SAN_GOU_4;SAN_TIAO_5;AN_RING_10_8_GOU_3;SAN_TIAO_6;AN_THUMB_9_GOU_3,散挑六;散勾四;散挑五;名十徽八勾三;散挑六;大九勾三,score_events.csv phrase_id/event_role + gesture_templates.csv; render alignment only for ABCD time ranges; sample_selection_decision only for sample provenance,draft,谱面句法锁定草案；不得标为 final/verified；正式 E 前需用户确认。
XWC_P04_LOCAL_PHRASE,4,XWC_P04,第4句 / XWC_P04,6,XWC_P04_N01_to_XWC_P04_N06,XWC_P04_N01,XWC_P04_N06,XWC_P04_N01;XWC_P04_N02;XWC_P04_N03;XWC_P04_N04;XWC_P04_N05;XWC_P04_N06,SAN_TIAO_5;SAN_GOU_3;SAN_TIAO_4;AN_RING_10_GOU_2;SAN_TIAO_5;AN_THUMB_9_GOU_2,散挑五;散勾三;散挑四;名十勾二;散挑五;大九勾二,score_events.csv phrase_id/event_role + gesture_templates.csv; render alignment only for ABCD time ranges; sample_selection_decision only for sample provenance,draft,谱面句法锁定草案；不得标为 final/verified；正式 E 前需用户确认。
XWC_P05_LOCAL_PHRASE,5,XWC_P05,第5句 / XWC_P05,6,XWC_P05_N01_to_XWC_P05_N06,XWC_P05_N01,XWC_P05_N06,XWC_P05_N01;XWC_P05_N02;XWC_P05_N03;XWC_P05_N04;XWC_P05_N05;XWC_P05_N06,SAN_TIAO_4;SAN_GOU_2;SAN_TIAO_3;AN_RING_10_GOU_1;SAN_TIAO_4;AN_THUMB_9_GOU_1,散挑四;散勾二;散挑三;名十勾一;散挑四;大九勾一,score_events.csv phrase_id/event_role + gesture_templates.csv; render alignment only for ABCD time ranges; sample_selection_decision only for sample provenance,draft,谱面句法锁定草案；不得标为 final/verified；正式 E 前需用户确认。
XWC_P06_LOCAL_PHRASE,6,XWC_P06,第6句 / XWC_P06,4,XWC_P06_N01_to_XWC_P06_N04,XWC_P06_N01,XWC_P06_N04,XWC_P06_N01;XWC_P06_N02;XWC_P06_N03;XWC_P06_N04,SAN_TIAO_4;AN_THUMB_9_GOU_1;SAN_TIAO_5;AN_THUMB_9_GOU_2,散挑四;大九勾一;散挑五;大九勾二,score_events.csv phrase_id/event_role + gesture_templates.csv; render alignment only for ABCD time ranges; sample_selection_decision only for sample provenance,draft,谱面句法锁定草案；不得标为 final/verified；正式 E 前需用户确认。
XWC_P07_LOCAL_PHRASE,7,XWC_P07,第7句 / XWC_P07,4,XWC_P07_N01_to_XWC_P07_N04,XWC_P07_N01,XWC_P07_N04,XWC_P07_N01;XWC_P07_N02;XWC_P07_N03;XWC_P07_N04,SAN_TIAO_6;AN_THUMB_9_GOU_3;SAN_TIAO_7;AN_THUMB_9_GOU_4,散挑六;大九勾三;散挑七;大九勾四,score_events.csv phrase_id/event_role + gesture_templates.csv; render alignment only for ABCD time ranges; sample_selection_decision only for sample provenance,draft,谱面句法锁定草案；不得标为 final/verified；正式 E 前需用户确认。
XWC_P08_LOCAL_PHRASE,8,XWC_P08,第8句 / XWC_P08,4,XWC_P08_N01_to_XWC_P08_N04,XWC_P08_N01,XWC_P08_N04,XWC_P08_N01;XWC_P08_N02;XWC_P08_N03;XWC_P08_N04,AN_THUMB_9_GOU_5;AN_THUMB_9_GOU_6_SHANG_79;SAN_TIAO_7;AN_THUMB_9_GOU_4,大九勾五;大九勾六上七九;散挑七;大九勾四,score_events.csv phrase_id/event_role + gesture_templates.csv; render alignment only for ABCD time ranges; sample_selection_decision only for sample provenance,draft,谱面句法锁定草案；不得标为 final/verified；正式 E 前需用户确认。
XWC_P09_LOCAL_PHRASE,9,XWC_P09,第9句 / XWC_P09,4,XWC_P09_N01_to_XWC_P09_N04,XWC_P09_N01,XWC_P09_N04,XWC_P09_N01;XWC_P09_N02;XWC_P09_N03;XWC_P09_N04,AN_THUMB_9_GOU_4_ZHUANG;AN_RING_10_QIAQI;SAN_TIAO_6;AN_RING_10_GOU_4,大九勾四撞;名十掐起;散挑六;名十勾四,score_events.csv phrase_id/event_role + gesture_templates.csv; render alignment only for ABCD time ranges; sample_selection_decision only for sample provenance,provisional,谱面句法锁定草案；不得标为 final/verified；正式 E 前需用户确认。
XWC_P10_LOCAL_PHRASE,10,XWC_P10,第10句 / XWC_P10,7,XWC_P10_N01_to_XWC_P10_N07,XWC_P10_N01,XWC_P10_N07,XWC_P10_N01;XWC_P10_N02;XWC_P10_N03;XWC_P10_N04;XWC_P10_N05;XWC_P10_N06;XWC_P10_N07,FAN_SHI_7_GOU_4;FAN_SHI_7_TIAO_7;FAN_SHI_7_TIAO_6;FAN_SHI_7_TIAO_4;FAN_ZHONG_7_GOU_1;FAN_DA_7_BO_6;FAN_DA7_ZHONG7_CUO_6_1,泛食七勾四;泛食七挑七;泛食七挑六;泛食七挑四;泛中七勾一;泛大七擘六;泛大七中七撮六一,score_events.csv phrase_id/event_role + gesture_templates.csv; render alignment only for ABCD time ranges; sample_selection_decision only for sample provenance,draft,谱面句法锁定草案；不得标为 final/verified；正式 E 前需用户确认。
