asr_candidate_id,recording_session_id,recording_id,piece_id,qinist_id,batch_id,recording_take_no,batch_take_no,slate_no,script_id,source_raw_audio,expected_spoken_slate_text,asr_accepted_variants,recognized_slate_text,matched_spoken_slate_text,asr_start_s,asr_end_s,asr_confidence,asr_model,asr_language,match_status,candidate_status,requires_manual_review,review_only,production_grade,not_sample_assets,not_render_executed,not_ml_training_data,notes
ASR_RS_XWC_002_BAIYA_PILOT_batch01_T001,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T001,001,001,RS_XWC_002_001,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,零零幺,零零幺;零零一,001,001,4.140,6.940,0.933028,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required. High no_speech_prob=0.782401; verify boundary carefully."
ASR_RS_XWC_002_BAIYA_PILOT_batch01_T002,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T002,002,002,RS_XWC_002_002,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,零零二,零零二,002,002,6.940,16.000,0.973611,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required. High no_speech_prob=0.782401; verify boundary carefully."
ASR_RS_XWC_002_BAIYA_PILOT_batch01_T003,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T003,003,003,RS_XWC_002_003,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,零零三,零零三,003,003,16.860,27.680,0.983133,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required. High no_speech_prob=0.782401; verify boundary carefully."
ASR_RS_XWC_002_BAIYA_PILOT_batch01_T004,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T004,004,004,RS_XWC_002_004,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,零零四,零零四,004,004,38.580,41.380,0.961692,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,duplicate,ambiguous,true,true,false,true,true,true,"Multiple ASR transcript segments matched this slate; first segment is surfaced as candidate, manual review required. duplicate_segment_indices=3,4"
ASR_RS_XWC_002_BAIYA_PILOT_batch01_T005,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T005,005,005,RS_XWC_002_005,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,零零五,零零五,005,005,48.140,49.540,0.848296,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
ASR_RS_XWC_002_BAIYA_PILOT_batch01_T006,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T006,006,006,RS_XWC_002_006,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,零零六,零零六,006,006,57.520,60.320,0.923687,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
ASR_RS_XWC_002_BAIYA_PILOT_batch01_T007,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T007,007,007,RS_XWC_002_007,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,零零七,零零七,007,007,67.320,69.960,0.961818,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
ASR_RS_XWC_002_BAIYA_PILOT_batch01_T008,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T008,008,008,RS_XWC_002_008,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,零零八,零零八,008,008,78.060,80.860,0.893965,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,duplicate,ambiguous,true,true,false,true,true,true,"Multiple ASR transcript segments matched this slate; first segment is surfaced as candidate, manual review required. duplicate_segment_indices=8,9"
ASR_RS_XWC_002_BAIYA_PILOT_batch01_T009,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T009,009,009,RS_XWC_002_009,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,零零九,零零九,009,009,88.700,90.600,0.706243,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
ASR_RS_XWC_002_BAIYA_PILOT_batch01_T010,RS_XWC_002_BAIYA_PILOT,RS_XWC_002,XWC,QINIST_002,batch01,T010,010,010,RS_XWC_002_010,02_recordings/raw_audio/QINIST_002/XWC/RS_XWC_002_BAIYA_PILOT/raw/RS_XWC_002_BAIYA_PILOT_batch01_T001-T010.wav,零幺零,零幺零;零一零,010,010,100.060,102.060,0.925955,faster-whisper medium cpu int8 beam_size=5 word_timestamps=true,zh,matched,candidate,true,true,false,true,true,true,"ASR text matched expected slate variant; candidate only, manual review required."
