path,classification,reason,risk_level,requires_approval,safe_delete_condition,blocked_by
tools/cg-varw/backend/.venv/,delete-candidate,"Local Python virtual environment; ignored by root .gitignore and not repository authority.",medium,true,"Only after user approval and after confirming backend dependencies can be recreated from requirements.txt.","No deletion in R2 dry run; may need active developer environment preservation."
tools/cg-varw/frontend/node_modules/,delete-candidate,"Local frontend dependency install; ignored by tools/cg-varw/frontend/.gitignore and root policy.",medium,true,"Only after user approval and after confirming npm install can recreate it from package-lock.json.","No deletion in R2 dry run; may be needed for local frontend work."
tools/cg-varw/frontend/dist/,delete-candidate,"Local frontend build artifact; ignored by tools/cg-varw/frontend/.gitignore and root policy.",low,true,"Only after user approval and after confirming no artifact is being used as evidence or deployment input.","No deletion in R2 dry run; frontend build was not run."
tools/cg-varw/frontend/node_modules/.vite/,delete-candidate,"Vite dependency/cache directory under ignored node_modules; generated local artifact.",low,true,"Safe only if parent node_modules cleanup is approved, or if frontend dev cache reset is approved.","Subsumed by tools/cg-varw/frontend/node_modules/."
tools/cg-varw/backend/app/__pycache__/,delete-candidate,"Python cache artifact under backend app source.",low,true,"Only after user approval and after confirming no Python process is running from the tree.","No deletion in R2 dry run."
tools/cg-varw/backend/app/api/__pycache__/,delete-candidate,"Python cache artifact under backend API source.",low,true,"Only after user approval and after confirming no Python process is running from the tree.","No deletion in R2 dry run."
tools/cg-varw/backend/app/services/__pycache__/,delete-candidate,"Python cache artifact under backend services source.",low,true,"Only after user approval and after confirming no Python process is running from the tree.","No deletion in R2 dry run."
tools/cg-varw/backend/app/tests/__pycache__/,delete-candidate,"Python cache artifact under backend tests.",low,true,"Only after user approval and after confirming tests are not running.","No deletion in R2 dry run; tests were not run."
tools/cg-varw/backend/.venv/**/__pycache__/,delete-candidate,"Nested Python cache artifacts inside the ignored backend virtual environment.",low,true,"Safe only if backend .venv cleanup is approved as a whole.","Subsumed by tools/cg-varw/backend/.venv/."
tools/cg-varw/backend/.venv/**/*.pyc,delete-candidate,"Compiled Python cache files inside the ignored backend virtual environment.",low,true,"Safe only if backend .venv cleanup is approved as a whole.","Subsumed by tools/cg-varw/backend/.venv/."
tools/cg-varw/review_outputs/r0/,delete-candidate,"Ignored generated local CG-VARW workbench R0 drafts/exports; non-canonical and not R2 authority.",medium,true,"Only after user approval and after confirming no active local review session needs these workbench outputs.","Preserve tools/cg-varw/review_outputs/README.md and .gitignore; no deletion in R2 dry run."
tools/cg-varw/review_outputs/r1/,delete-candidate,"Ignored generated local CG-VARW workbench R1 drafts/exports; non-canonical and not R2 authority.",medium,true,"Only after user approval and after confirming no active local review session needs these workbench outputs.","Preserve tools/cg-varw/review_outputs/README.md and .gitignore; no deletion in R2 dry run."
