path,tracked_status,ignored_status,reference_status,risk_level,execution_decision,safe_delete_condition,requires_user_approval
tools/cg-varw/backend/.venv/,untracked-ignored,ignored-by-root-gitignore,no-current-reference,medium,approved-for-future-local-cleanup,"User explicitly approves local cleanup and confirms backend dependencies can be recreated from tools/cg-varw/backend/requirements.txt.",true
tools/cg-varw/frontend/node_modules/,untracked-ignored,ignored-by-frontend-gitignore,no-current-reference,medium,approved-for-future-local-cleanup,"User explicitly approves local cleanup and confirms dependencies can be recreated from tools/cg-varw/frontend/package-lock.json.",true
tools/cg-varw/frontend/dist/,untracked-ignored,ignored-by-frontend-gitignore,historical-reference-only,low,approved-for-future-local-cleanup,"User explicitly approves local cleanup and confirms dist is not being used as a deployment or evidence artifact.",true
tools/cg-varw/frontend/node_modules/.vite/,untracked-ignored,ignored-by-frontend-node_modules-rule,no-current-reference,low,subsumed-by-parent,"Clean only as part of approved tools/cg-varw/frontend/node_modules/ cleanup or a separately approved frontend cache reset.",true
tools/cg-varw/backend/app/__pycache__/,untracked-ignored,ignored-by-root-pycache-rule,no-current-reference,low,approved-for-future-local-cleanup,"User explicitly approves local cache cleanup and confirms no Python process is running from the tree.",true
tools/cg-varw/backend/app/api/__pycache__/,untracked-ignored,ignored-by-root-pycache-rule,no-current-reference,low,approved-for-future-local-cleanup,"User explicitly approves local cache cleanup and confirms no Python process is running from the tree.",true
tools/cg-varw/backend/app/services/__pycache__/,untracked-ignored,ignored-by-root-pycache-rule,no-current-reference,low,approved-for-future-local-cleanup,"User explicitly approves local cache cleanup and confirms no Python process is running from the tree.",true
tools/cg-varw/backend/app/tests/__pycache__/,untracked-ignored,ignored-by-root-pycache-rule,no-current-reference,low,approved-for-future-local-cleanup,"User explicitly approves local cache cleanup and confirms tests are not running.",true
tools/cg-varw/backend/.venv/**/__pycache__/,untracked-ignored,ignored-by-backend-venv-parent,no-current-reference,low,subsumed-by-parent,"Clean only as part of approved tools/cg-varw/backend/.venv/ cleanup.",true
tools/cg-varw/backend/.venv/**/*.pyc,untracked-ignored,ignored-by-backend-venv-parent,no-current-reference,low,subsumed-by-parent,"Clean only as part of approved tools/cg-varw/backend/.venv/ cleanup.",true
tools/cg-varw/review_outputs/r0/,untracked-ignored,ignored-by-review_outputs-gitignore,authority-reference,medium,defer,"Active R0 workbench save/load/export path is referenced by workflow skill, backend docs, archive manifests, and contract reports.",true
tools/cg-varw/review_outputs/r1/,untracked-ignored,ignored-by-review_outputs-gitignore,authority-reference,medium,defer,"Active R1 workbench save/load/export path is referenced by workflow skill, accepted F provenance, canonical R2 latest JSON, archive manifests, and contract reports.",true
