review_id,render_set_id,phrase_id,section_id,event_range,active_version_id,preferred_version_id,quick_judgement,issue_type,severity,comment,suggested_revision,review_status,gpt_review_pending,e_revision_plan_generated,e_generated,experimental_render,review_only,production_grade
R2_REVIEW_XWC_P01_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P01_LOCAL_PHRASE,XWC_P01,XWC_P01_N01_to_XWC_P01_N04,C_QINIST_STYLE,C_QINIST_STYLE,needs_revision,"[""phrase_unclear""]",low,现在是四个音平分四拍，试试其它的组合呢？,半拍、半拍、一拍、一拍,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P02_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P02_LOCAL_PHRASE,XWC_P02,XWC_P02_N01_to_XWC_P02_N06,C_QINIST_STYLE,C_QINIST_STYLE,,"[""phrase_unclear""]",low,现在是六个音平分四拍，试试其它的组合呢？,半拍、半拍、半拍、半拍、一拍、一拍,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P03_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P03_LOCAL_PHRASE,XWC_P03,XWC_P03_N01_to_XWC_P03_N06,C_QINIST_STYLE,C_QINIST_STYLE,,[],low,同第2句,同第2句,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P03_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P03_LOCAL_PHRASE,XWC_P03,XWC_P03_N01_to_XWC_P03_N06,B_PHRASE,C_QINIST_STYLE,,[],low,,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P03_LOCAL_PHRASE_A_LITERAL,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P03_LOCAL_PHRASE,XWC_P03,XWC_P03_N01_to_XWC_P03_N06,A_LITERAL,C_QINIST_STYLE,,[],low,,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P04_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P04_LOCAL_PHRASE,XWC_P04,XWC_P04_N01_to_XWC_P04_N06,C_QINIST_STYLE,C_QINIST_STYLE,,[],low,同第2句,同第2句,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P05_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P05_LOCAL_PHRASE,XWC_P05,XWC_P05_N01_to_XWC_P05_N06,C_QINIST_STYLE,C_QINIST_STYLE,,[],low,同第2句,同第2句,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P05_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P05_LOCAL_PHRASE,XWC_P05,XWC_P05_N01_to_XWC_P05_N06,B_PHRASE,C_QINIST_STYLE,,[],low,,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P04_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P04_LOCAL_PHRASE,XWC_P04,XWC_P04_N01_to_XWC_P04_N06,B_PHRASE,C_QINIST_STYLE,,[],low,,,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P02_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P02_LOCAL_PHRASE,XWC_P02,XWC_P02_N01_to_XWC_P02_N06,B_PHRASE,C_QINIST_STYLE,,[],low,,,draft,true,false,false,true,true,false
