review_id,render_set_id,phrase_id,section_id,event_range,active_version_id,preferred_version_id,quick_judgement,issue_type,severity,comment,suggested_revision,reviewer,reviewed_at,updated_at,review_status,gpt_review_pending,e_revision_plan_generated,e_generated,experimental_render,review_only,production_grade
R2_REVIEW_XWC_P01_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P01_LOCAL_PHRASE,XWC_P01,XWC_P01_N01_to_XWC_P01_N04,C_QINIST_STYLE,C_QINIST_STYLE,usable,"[""phrase_unclear""]",medium,试试其它节拍,123——4——,human,,2026-06-20T11:16:49.192Z,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P02_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P02_LOCAL_PHRASE,XWC_P02,XWC_P02_N01_to_XWC_P02_N06,C_QINIST_STYLE,C_QINIST_STYLE,usable,"[""phrase_unclear""]",medium,试试其它节拍,12345——6——,human,,2026-06-20T11:17:25.705Z,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P03_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P03_LOCAL_PHRASE,XWC_P03,XWC_P03_N01_to_XWC_P03_N06,C_QINIST_STYLE,C_QINIST_STYLE,,[],low,同第2句,同第2句,human,,2026-06-20T11:17:37.086Z,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P03_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P03_LOCAL_PHRASE,XWC_P03,XWC_P03_N01_to_XWC_P03_N06,B_PHRASE,C_QINIST_STYLE,,[],low,,,human,2026-06-20T11:15:44.861773+00:00,2026-06-20T11:15:44.861775+00:00,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P03_LOCAL_PHRASE_A_LITERAL,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P03_LOCAL_PHRASE,XWC_P03,XWC_P03_N01_to_XWC_P03_N06,A_LITERAL,C_QINIST_STYLE,,[],low,,,human,2026-06-20T11:15:44.861779+00:00,2026-06-20T11:15:44.861781+00:00,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P04_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P04_LOCAL_PHRASE,XWC_P04,XWC_P04_N01_to_XWC_P04_N06,C_QINIST_STYLE,C_QINIST_STYLE,,[],low,同第2句,同第2句,human,,2026-06-20T11:17:39.966Z,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P05_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P05_LOCAL_PHRASE,XWC_P05,XWC_P05_N01_to_XWC_P05_N06,C_QINIST_STYLE,C_QINIST_STYLE,,[],low,同第2句,同第2句,human,,2026-06-20T11:17:43.569Z,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P05_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P05_LOCAL_PHRASE,XWC_P05,XWC_P05_N01_to_XWC_P05_N06,B_PHRASE,C_QINIST_STYLE,,[],low,,,human,2026-06-20T11:15:44.861803+00:00,2026-06-20T11:15:44.861806+00:00,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P04_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P04_LOCAL_PHRASE,XWC_P04,XWC_P04_N01_to_XWC_P04_N06,B_PHRASE,C_QINIST_STYLE,,[],low,,,human,2026-06-20T11:15:44.861811+00:00,2026-06-20T11:15:44.861814+00:00,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P02_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P02_LOCAL_PHRASE,XWC_P02,XWC_P02_N01_to_XWC_P02_N06,B_PHRASE,C_QINIST_STYLE,,[],low,,,human,2026-06-20T11:15:44.861818+00:00,2026-06-20T11:15:44.861820+00:00,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P06_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P06_LOCAL_PHRASE,XWC_P06,XWC_P06_N01_to_XWC_P06_N04,B_PHRASE,B_PHRASE,,[],low,同第1句,同第1句,human,,2026-06-20T12:01:08.902Z,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P06_LOCAL_PHRASE_A_LITERAL,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P06_LOCAL_PHRASE,XWC_P06,XWC_P06_N01_to_XWC_P06_N04,A_LITERAL,B_PHRASE,,[],low,,,human,2026-06-20T11:15:44.861830+00:00,2026-06-20T11:15:44.861832+00:00,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P07_LOCAL_PHRASE_A_LITERAL,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P07_LOCAL_PHRASE,XWC_P07,XWC_P07_N01_to_XWC_P07_N04,A_LITERAL,B_PHRASE,,[],low,,,human,2026-06-20T11:15:44.861835+00:00,2026-06-20T11:15:44.861838+00:00,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P01_LOCAL_PHRASE_A_LITERAL,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P01_LOCAL_PHRASE,XWC_P01,XWC_P01_N01_to_XWC_P01_N04,A_LITERAL,C_QINIST_STYLE,,[],low,,,human,2026-06-20T11:15:44.861842+00:00,2026-06-20T11:15:44.861844+00:00,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P02_LOCAL_PHRASE_A_LITERAL,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P02_LOCAL_PHRASE,XWC_P02,XWC_P02_N01_to_XWC_P02_N06,A_LITERAL,C_QINIST_STYLE,,[],low,,,human,2026-06-20T11:15:44.861848+00:00,2026-06-20T11:15:44.861850+00:00,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P06_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P06_LOCAL_PHRASE,XWC_P06,XWC_P06_N01_to_XWC_P06_N04,C_QINIST_STYLE,B_PHRASE,,[],low,同第1句,同第1句,human,,2026-06-20T11:17:50.735Z,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P07_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P07_LOCAL_PHRASE,XWC_P07,XWC_P07_N01_to_XWC_P07_N04,C_QINIST_STYLE,B_PHRASE,,[],low,同第1句,同第1句,human,,2026-06-20T11:17:54.149Z,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P07_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P07_LOCAL_PHRASE,XWC_P07,XWC_P07_N01_to_XWC_P07_N04,B_PHRASE,B_PHRASE,,[],low,同第1句,同第1句,human,,2026-06-20T11:18:17.229Z,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P08_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P08_LOCAL_PHRASE,XWC_P08,XWC_P08_N01_to_XWC_P08_N04,C_QINIST_STYLE,B_PHRASE,,[],low,同第1句,同第1句,human,,2026-06-20T11:17:57.337Z,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P08_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P08_LOCAL_PHRASE,XWC_P08,XWC_P08_N01_to_XWC_P08_N04,B_PHRASE,B_PHRASE,,[],low,同第1句,同第1句,human,,2026-06-20T11:18:07.151Z,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P09_LOCAL_PHRASE,XWC_P09,XWC_P09_N01_to_XWC_P09_N04,B_PHRASE,A_LITERAL,,"[""context_take_overused""]",high,把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？,,human,,2026-06-20T11:19:18.872Z,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_C_QINIST_STYLE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P09_LOCAL_PHRASE,XWC_P09,XWC_P09_N01_to_XWC_P09_N04,C_QINIST_STYLE,A_LITERAL,,"[""context_take_overused""]",high,把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？,,human,,2026-06-20T11:19:26.798Z,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_D_TEACHING_DIAGNOSTIC,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P09_LOCAL_PHRASE,XWC_P09,XWC_P09_N01_to_XWC_P09_N04,D_TEACHING_DIAGNOSTIC,A_LITERAL,,"[""context_take_overused""]",high,把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？,把带上下文的掐起和上下文连接，这样不是就有2个上下文的音了？,human,,2026-06-20T11:19:30.940Z,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P09_LOCAL_PHRASE_A_LITERAL,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P09_LOCAL_PHRASE,XWC_P09,XWC_P09_N01_to_XWC_P09_N04,A_LITERAL,A_LITERAL,,[],low,,,human,2026-06-20T11:15:44.861913+00:00,2026-06-20T11:15:44.861915+00:00,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P10_LOCAL_PHRASE_A_LITERAL,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P10_LOCAL_PHRASE,XWC_P10,XWC_P10_N01_to_XWC_P10_N07,A_LITERAL,A_LITERAL,,"[""good""]",low,试试其它节拍,1——234——5——6——7——,human,,2026-06-20T11:20:38.396Z,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P08_LOCAL_PHRASE_A_LITERAL,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P08_LOCAL_PHRASE,XWC_P08,XWC_P08_N01_to_XWC_P08_N04,A_LITERAL,B_PHRASE,,[],low,,,human,2026-06-20T11:15:44.861926+00:00,2026-06-20T11:15:44.861928+00:00,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P01_LOCAL_PHRASE_B_PHRASE,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P01_LOCAL_PHRASE,XWC_P01,XWC_P01_N01_to_XWC_P01_N04,B_PHRASE,C_QINIST_STYLE,,[],low,,,human,2026-06-20T11:15:44.861933+00:00,2026-06-20T11:15:44.861935+00:00,draft,true,false,false,true,true,false
R2_REVIEW_XWC_P10_LOCAL_PHRASE_D_TEACHING_DIAGNOSTIC,R2_XWC_BAIYA_ABCD_EXPERIMENTAL_354811e,XWC_P10_LOCAL_PHRASE,XWC_P10,XWC_P10_N01_to_XWC_P10_N07,D_TEACHING_DIAGNOSTIC,A_LITERAL,,[],low,,,human,,,draft,true,false,false,true,true,false
