case_family,input_lexical_pattern,semantic_issue,expected_status,candidate_reading_allowed,context_inheritance_allowed,guard_required,rejection_reason,future_phase_owner,notes
RIGHT_HAND_ACTION_ALONE,RIGHT_HAND_ACTION_COMPONENT,Required string slot is missing,INCOMPLETE,false,true,false,Missing STRING_NUMBER,P1-B,Do not blanket reject because it may become valid when paired with a string token
STRING_NUMBER_ALONE,NUMERIC_COMPONENT,Numeric role cannot be decided without grammar context,VALID_AMBIGUOUS,false,true,false,Could be hui string range count or unresolved numeric role,P1-B,Do not hard-code numeric token as hui or string during tokenization
LEFT_FINGER_ALONE,LEFT_FINGER_NAME_COMPONENT,Left finger has no hui and no sounding action,INCOMPLETE,false,true,false,Missing HUI_POSITION RIGHT_HAND_ACTION and STRING_NUMBER,P1-B,May become context source but not sounding unit alone
HUI_POSITION_ALONE,NUMERIC_COMPONENT,Numeric candidate may be hui but lacks left finger and action context,VALID_AMBIGUOUS,false,true,false,Numeric slot role unresolved,P1-B,Can remain ambiguous instead of invalid
LEFT_FINGER_PLUS_HUI_NO_RH,LEFT_FINGER_NAME_COMPONENT NUMERIC_COMPONENT,Pressed position lacks sounding action and string,INCOMPLETE,false,true,false,Missing RIGHT_HAND_ACTION and STRING_NUMBER,P1-B,May establish context source but not a complete sounding unit
RH_ACTION_PLUS_STRING,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,No explicit sound-state evidence and no explicit context,VALID_AMBIGUOUS,true,true,true,Produces open-string and inherited-context interpretation candidates without defaulting sound type to 散,P1-B,Explicit open-string evidence or caller no_inherited_context resolves to VALID_COMPLETE
RH_ACTION_PLUS_STRING_NO_INHERITED_CONTEXT,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT WITH no_inherited_context,Caller declares no inherited context or explicit open-string evidence,VALID_COMPLETE,true,false,true,No missing context remains after caller declaration,P1-B,Still records sound_type_candidate and sound_type_resolution_status
RH_ACTION_PLUS_STRING_EXPLICIT_CONTEXT,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT WITH inherited_context,Caller provides compatible inherited context,VALID_WITH_CONTEXT,true,true,true,Context source is explicit and compatibility can be validated,P1-B,P1 validates context but does not discover it
LF_HUI_RH_STRING,LEFT_FINGER_NAME_COMPONENT NUMERIC_COMPONENT RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,Pressed sounding unit slots are complete,VALID_COMPLETE,true,false,true,None when numeric roles are assigned by production,P1-B,Specific production outranks generic RH plus string
STRING_PLUS_RH_REVERSED,NUMERIC_COMPONENT RIGHT_HAND_ACTION_COMPONENT,Reverse order does not satisfy P1 local production,INVALID_ORDER,false,false,false,STRING_NUMBER appears before RH_ACTION without a rule,P1-B,Future P3 lattice may consider alternate segmentation but P1 local order rejects
TIMING_MARKER_MIXED_WITH_SOUNDING,TIMING_MARKER_COMPONENT RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,Timing marker is being mixed into sounding slots,INVALID_TYPE_COMBINATION,false,false,true,Non-sounding marker cannot fill sounding slot,P1-B,Parser may split marker and sounding unit only if sequence boundary is explicit
STATE_START_ALONE,STATE_MARKER_COMPONENT,State start marker is legal but non-sounding,VALID_COMPLETE,true,false,true,None as non-sounding marker,P1-B,Full state span belongs to P5
STATE_END_ALONE,STATE_MARKER_COMPONENT,State end marker is legal but non-sounding,VALID_COMPLETE,true,false,true,None as non-sounding marker,P1-B,Closing a span requires later context
PRE_SOUND_MOTION_NO_HOST,LEFT_HAND_ACTION_COMPONENT,Pre-sound motion lacks following pressed sounding host,INCOMPLETE,false,true,true,Motion requires host unit,P1-B,Chuo or zhu-like approach cannot stand alone
POST_SOUND_MOTION_NO_HOST,LEFT_HAND_ACTION_COMPONENT,Post-sound motion lacks preceding sounding host,INCOMPLETE,false,true,true,Motion requires preceding host unit,P1-B,Up or down-like motion cannot stand alone
MULTIPLE_RH_ACTION_SAME_SLOT,RIGHT_HAND_ACTION_COMPONENT RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,Two right hand actions compete for one slot,VALID_AMBIGUOUS,false,false,true,Slot competition requires split or compound rule,P1-B,Compound action may be valid only under a specific production
MULTIPLE_STRING_NUMBERS_SAME_SLOT,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT NUMERIC_COMPONENT,Two numeric tokens compete for one string slot,VALID_AMBIGUOUS,false,true,false,Numeric cluster could be hui range string range or two units,P1-B,Do not over-reject numeric clusters before role assignment
UNNORMALIZED_LEGACY_ID,legacy_component_id_without_component_id_v0_2,Primary id missing after normalization,COMPONENT_ID_NORMALIZATION_GAP,false,false,true,Legacy id must normalize to v0.2 before parse,P1-B,Legacy id may remain only in traceability fields
UNKNOWN_COMPONENT_PRESENT,UNKNOWN_COMPONENT,Component identity is unknown,UNRESOLVED,false,false,false,Unknown component cannot be force matched,P1-B,Emit unresolved parse candidate
SCOPED_FORBIDDEN_GUARD_HIT,ANY_GRAMMAR_PLAUSIBLE_SCOPED_SEQUENCE,D3A scoped guard rejects candidate,FORBIDDEN_GUARD_REJECTED,false,false,true,Matched guard effect is hard_reject,P1-B,Literal forbidden text is not globally banned outside scope
PARTIALLY_CONSUMED_SEQUENCE,VALID_LOCAL_PATTERN PLUS EXTRA_TOKEN,Accepted local parse leaves unconsumed token,UNRESOLVED,false,true,false,Unconsumed token must be recorded,P1-B,Partial consumption is allowed only with explicit unconsumed_tokens
CONTEXT_INHERITANCE_SOURCE_MISSING,RH_ACTION_COMPONENT NUMERIC_COMPONENT WITH CONTEXT_REQUIRED,Caller declares context is required but provides no context_ref or inherited_context,INCOMPLETE,false,true,true,Missing explicit context source,P1-B,Stable expression: missing declared context is INCOMPLETE
INPUT_EMPTY,EMPTY_INPUT,Schema-level input failure before grammar matching,INPUT_CONTRACT_INVALID,false,false,false,Empty token sequence,P1-B,Do not classify as INVALID_TYPE_COMBINATION
INPUT_DUPLICATE_TOKEN_ID,DUPLICATE token_id,Schema-level input failure before grammar matching,INPUT_CONTRACT_INVALID,false,false,false,Duplicate token_id,P1-B,Duplicate or invalid sequence index is also INPUT_CONTRACT_INVALID
