case_id,fixture_file,fixture_class,case_family,production_rule_ids,input_lexical_pattern,normalization_mode,context_mode,expected_parse_status,expected_candidate_policy,expected_primary_rule_ids,expected_guard_actions,expected_rank_order,expected_consumed_token_assertion,expected_unconsumed_token_assertion,expected_sound_type_candidate,expected_sound_type_resolution_status,surface_assertion_scope,invalid_matrix_case_refs,oracle_free,p1c_implementation_required,authority_boundary,notes
P1B-ABS-001,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,INPUT_EMPTY,NONE,EMPTY_INPUT,NONE,NO_CONTEXT,INPUT_CONTRACT_INVALID,REJECT_BEFORE_GRAMMAR,NONE,NONE,NONE,NONE,NONE,None,UNRESOLVED,NONE,INPUT_EMPTY,true,true,P1B_DRAFT_NON_AUTHORITY,fixture_design_only
P1B-ABS-002,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,INPUT_MISSING_REQUIRED_FIELD,NONE,RIGHT_HAND_ACTION_COMPONENT,NORMALIZED_V0_2_PRIMARY,NO_CONTEXT,INPUT_CONTRACT_INVALID,REJECT_BEFORE_GRAMMAR,NONE,NONE,NONE,NONE,t1,None,UNRESOLVED,NONE,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,fixture_design_only
P1B-ABS-003,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,INPUT_DUPLICATE_TOKEN_ID,NONE,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,INPUT_CONTRACT_INVALID,REJECT_BEFORE_GRAMMAR,NONE,NONE,NONE,NONE,dup,None,UNRESOLVED,NONE,INPUT_DUPLICATE_TOKEN_ID,true,true,P1B_DRAFT_NON_AUTHORITY,fixture_design_only
P1B-ABS-004,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,INPUT_DUPLICATE_SEQUENCE_INDEX,NONE,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,INPUT_CONTRACT_INVALID,REJECT_BEFORE_GRAMMAR,NONE,NONE,NONE,NONE,t1;t2,None,UNRESOLVED,NONE,INPUT_DUPLICATE_TOKEN_ID,true,true,P1B_DRAFT_NON_AUTHORITY,fixture_design_only
P1B-ABS-005,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,INPUT_INVALID_SEQUENCE_INDEX,NONE,RIGHT_HAND_ACTION_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,INPUT_CONTRACT_INVALID,REJECT_BEFORE_GRAMMAR,NONE,NONE,NONE,NONE,t1,None,UNRESOLVED,NONE,INPUT_DUPLICATE_TOKEN_ID,true,true,P1B_DRAFT_NON_AUTHORITY,fixture_design_only
P1B-ABS-006,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,INPUT_MALFORMED_COMPONENT_ID,NONE,RIGHT_HAND_ACTION_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,INPUT_CONTRACT_INVALID,REJECT_BEFORE_GRAMMAR,NONE,NONE,NONE,NONE,t1,None,UNRESOLVED,NONE,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,fixture_design_only
P1B-ABS-007,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,INPUT_INVALID_LEXICAL_TYPE,NONE,RIGHT_HAND_MAGIC,ABSTRACT_PRIMARY,NO_CONTEXT,INPUT_CONTRACT_INVALID,REJECT_BEFORE_GRAMMAR,NONE,NONE,NONE,NONE,t1,None,UNRESOLVED,NONE,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,fixture_design_only
P1B-ABS-008,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,INPUT_INVALID_FIELD_TYPE,NONE,RIGHT_HAND_ACTION_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,INPUT_CONTRACT_INVALID,REJECT_BEFORE_GRAMMAR,NONE,NONE,NONE,NONE,t1,None,UNRESOLVED,NONE,NONE,true,true,P1B_DRAFT_NON_AUTHORITY,fixture_design_only
P1B-ABS-009,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,RH_ACTION_PLUS_STRING_NO_CONTEXT,PR-RH-STRING,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,NO_CONTEXT,VALID_AMBIGUOUS,ACCEPT_N_BEST_AMBIGUOUS,PR-RH-STRING,NOT_APPLICABLE,NONE,rh;num,NONE,None,AMBIGUOUS,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,RH_ACTION_PLUS_STRING,true,true,P1B_DRAFT_NON_AUTHORITY,no_default_san
P1B-ABS-010,p1b_abstract_grammar_fixtures.v0.1.json,ABSTRACT_GRAMMAR,RH_ACTION_PLUS_STRING_NO_INHERITED_CONTEXT,PR-RH-STRING,RIGHT_HAND_ACTION_COMPONENT NUMERIC_COMPONENT,ABSTRACT_PRIMARY,NO_INHERITED_CONTEXT,VALID_COMPLETE,ACCEPT_ONE_LOCAL_OPEN_STRING,PR-RH-STRING,NOT_APPLICABLE,NONE,rh;num,NONE,散,RESOLVED,ABSTRACT_LOCAL_NOTATION_UNIT_ONLY,RH_ACTION_PLUS_STRING_NO_INHERITED_CONTEXT,true,true,P1B_DRAFT_NON_AUTHORITY,explicit_no_inherited_context
