glyph_group_id,status_labels,phrase_candidate_id,source_image,bbox,matched_component_ids,matched_labels,candidate_reading_summary,segmentation_confidence,component_match_confidence,parse_confidence,boundary_needs_review,needs_review,needs_review_reason,authority_status,human_decision,reviewer_notes
LXY-P01-PH01-G001,LXY_TRANSCRIPTION_DRAFT;USER_COMPONENT_LABEL_GUIDED;NOT_CANON_AUTHORITY;NOT_REPO_CONTRACT;NOT_DAPU_IR_AUTHORITY;NEEDS_HUMAN_REVIEW;NOT_SAMPLE_INGEST;NOT_ML_TRAINING_DATA;NOT_RENDER_OUTPUT,LXY-P01-PH01,截屏2026-06-28 17.31.19.png,"1,17,73,117",COMP-002,泛起,fan_state_transition_candidate=enter_harmonic_state_candidate,high,high,medium,false,true,Confirm scope of 泛起 context across following groups.,USER_COMPONENT_LABEL_GUIDED__NOT_CANON_AUTHORITY__NOT_DAPU_IR_AUTHORITY,,
LXY-P01-PH01-G002,LXY_TRANSCRIPTION_DRAFT;USER_COMPONENT_LABEL_GUIDED;NOT_CANON_AUTHORITY;NOT_REPO_CONTRACT;NOT_DAPU_IR_AUTHORITY;NEEDS_HUMAN_REVIEW;NOT_SAMPLE_INGEST;NOT_ML_TRAINING_DATA;NOT_RENDER_OUTPUT,LXY-P01-PH01,截屏2026-06-28 17.31.19.png,"85,17,177,118",COMP-013;COMP-007;COMP-020;COMP-009,中指;七;勾;一,right_hand_action_candidate=勾; left_hand_candidate=中指; string_no_candidate=一; hui_position_candidate=七徽,high,medium,medium,false,true,Needs human review before authority; user-guided reading accepted as draft evidence.,USER_COMPONENT_LABEL_GUIDED__NOT_CANON_AUTHORITY__NOT_DAPU_IR_AUTHORITY,,
LXY-P01-PH01-G003,LXY_TRANSCRIPTION_DRAFT;USER_COMPONENT_LABEL_GUIDED;NOT_CANON_AUTHORITY;NOT_REPO_CONTRACT;NOT_DAPU_IR_AUTHORITY;NEEDS_HUMAN_REVIEW;NOT_SAMPLE_INGEST;NOT_ML_TRAINING_DATA;NOT_RENDER_OUTPUT,LXY-P01-PH01,截屏2026-06-28 17.31.19.png,"192,20,276,127",COMP-008;COMP-007;COMP-020;COMP-015,名指;七;勾;二,right_hand_action_candidate=勾; left_hand_candidate=名指; string_no_candidate=二; hui_position_candidate=七徽,medium,medium_low,medium_low,true,true,G03 is visually less clean than G02; keep as candidate pending human review.,USER_COMPONENT_LABEL_GUIDED__NOT_CANON_AUTHORITY__NOT_DAPU_IR_AUTHORITY,,
LXY-P01-PH01-G004,LXY_TRANSCRIPTION_DRAFT;USER_COMPONENT_LABEL_GUIDED;NOT_CANON_AUTHORITY;NOT_REPO_CONTRACT;NOT_DAPU_IR_AUTHORITY;NEEDS_HUMAN_REVIEW;NOT_SAMPLE_INGEST;NOT_ML_TRAINING_DATA;NOT_RENDER_OUTPUT,LXY-P01-PH01,截屏2026-06-28 17.31.19.png,"297,30,384,118",COMP-020;COMP-016,勾;三,right_hand_action_candidate=勾; left_hand_candidate=名指 (context_inherited); string_no_candidate=三; hui_position_candidate=七徽 (context_inherited),high,high,medium,false,true,Confirm that inheritance from G003 applies through this group.,USER_COMPONENT_LABEL_GUIDED__NOT_CANON_AUTHORITY__NOT_DAPU_IR_AUTHORITY,,
LXY-P01-PH01-G005,LXY_TRANSCRIPTION_DRAFT;USER_COMPONENT_LABEL_GUIDED;NOT_CANON_AUTHORITY;NOT_REPO_CONTRACT;NOT_DAPU_IR_AUTHORITY;NEEDS_HUMAN_REVIEW;NOT_SAMPLE_INGEST;NOT_ML_TRAINING_DATA;NOT_RENDER_OUTPUT,LXY-P01-PH01,截屏2026-06-28 17.31.19.png,"395,63,448,112",COMP-017,泛止,fan_state_transition_candidate=exit_harmonic_state_candidate,high,medium,medium,false,true,Confirm exact placement of 泛止 boundary.,USER_COMPONENT_LABEL_GUIDED__NOT_CANON_AUTHORITY__NOT_DAPU_IR_AUTHORITY,,
LXY-P01-PH01-G006,LXY_TRANSCRIPTION_DRAFT;USER_COMPONENT_LABEL_GUIDED;NOT_CANON_AUTHORITY;NOT_REPO_CONTRACT;NOT_DAPU_IR_AUTHORITY;NEEDS_HUMAN_REVIEW;NOT_SAMPLE_INGEST;NOT_ML_TRAINING_DATA;NOT_RENDER_OUTPUT,LXY-P01-PH01,截屏2026-06-28 17.31.19.png,"460,7,612,128",COMP-012;COMP-006;COMP-015;COMP-001;COMP-007;COMP-005,大指;六;二;托;七;句号,right_hand_action_candidate=托; left_hand_candidate=大指; string_no_candidate=七; hui_position_candidate=六二徽; punctuation_candidate=句号,high,medium,medium,false,true,User-provided example confirms this construction pattern; still report-only draft.,USER_COMPONENT_LABEL_GUIDED__NOT_CANON_AUTHORITY__NOT_DAPU_IR_AUTHORITY,,
LXY-P01-PH02-G001,LXY_TRANSCRIPTION_DRAFT;USER_COMPONENT_LABEL_GUIDED;NOT_CANON_AUTHORITY;NOT_REPO_CONTRACT;NOT_DAPU_IR_AUTHORITY;NEEDS_HUMAN_REVIEW;NOT_SAMPLE_INGEST;NOT_ML_TRAINING_DATA;NOT_RENDER_OUTPUT,LXY-P01-PH02,截屏2026-06-28 17.31.19.png,"624,69,702,150",COMP-010,吟,left_hand_candidate=大指 (context_inherited); hui_position_candidate=六二徽 (context_inherited); ornament_candidate=吟,medium_low,medium,low,true,true,Phrase-boundary effect on inheritance must be reviewed.,USER_COMPONENT_LABEL_GUIDED__NOT_CANON_AUTHORITY__NOT_DAPU_IR_AUTHORITY,,
LXY-P01-PH02-G002,LXY_TRANSCRIPTION_DRAFT;USER_COMPONENT_LABEL_GUIDED;NOT_CANON_AUTHORITY;NOT_REPO_CONTRACT;NOT_DAPU_IR_AUTHORITY;NEEDS_HUMAN_REVIEW;NOT_SAMPLE_INGEST;NOT_ML_TRAINING_DATA;NOT_RENDER_OUTPUT,LXY-P01-PH02,截屏2026-06-28 17.31.19.png,"802,31,877,133",COMP-019,爪起,left_hand_candidate=大指? (context_inherited); hui_position_candidate=六二徽? (context_inherited); special_technique_candidate=爪起,medium,medium,low,true,true,Need confirm whether 爪起 attaches to previous pressed position or starts a separate construction.,USER_COMPONENT_LABEL_GUIDED__NOT_CANON_AUTHORITY__NOT_DAPU_IR_AUTHORITY,,
LXY-P01-PH02-G003,LXY_TRANSCRIPTION_DRAFT;USER_COMPONENT_LABEL_GUIDED;NOT_CANON_AUTHORITY;NOT_REPO_CONTRACT;NOT_DAPU_IR_AUTHORITY;NEEDS_HUMAN_REVIEW;NOT_SAMPLE_INGEST;NOT_ML_TRAINING_DATA;NOT_RENDER_OUTPUT,LXY-P01-PH02,截屏2026-06-28 17.31.19.png,"922,14,1104,117",COMP-008;COMP-007;COMP-018;COMP-006,名指;七;挑;六,right_hand_action_candidate=挑; left_hand_candidate=名指; string_no_candidate=六; hui_position_candidate=七徽,high,medium,medium,false,true,User-corrected draft reading; still not canon authority.,USER_COMPONENT_LABEL_GUIDED__NOT_CANON_AUTHORITY__NOT_DAPU_IR_AUTHORITY,,
LXY-P01-PH02-G004,LXY_TRANSCRIPTION_DRAFT;USER_COMPONENT_LABEL_GUIDED;NOT_CANON_AUTHORITY;NOT_REPO_CONTRACT;NOT_DAPU_IR_AUTHORITY;NEEDS_HUMAN_REVIEW;NOT_SAMPLE_INGEST;NOT_ML_TRAINING_DATA;NOT_RENDER_OUTPUT,LXY-P01-PH02,截屏2026-06-28 17.31.19.png,"1125,50,1190,122",COMP-003,少息,timing_marker_candidate=少息,high,high,medium,false,true,Confirm duration/scope of 少息.,USER_COMPONENT_LABEL_GUIDED__NOT_CANON_AUTHORITY__NOT_DAPU_IR_AUTHORITY,,
