version_id,event_id,event_range,phrase_id,gesture_id,selected_recording_take_no,selected_batch_id,selected_source_split_audio,realization_variant,expected_sample_type,context_take_used,context_take_candidate,selection_reason,render_anchor_s,render_anchor_type,pre_attack_music_policy,tail_policy,source_map_row_id,experimental_render,production_grade,not_sample_assets,not_recording_segments,not_ml_training_data
A_LITERAL,XWC_P01_N01,XWC_P01_N01,XWC_P01_LOCAL_PHRASE,SAN_TIAO_7,T001,batch01,clean_previews/T001_clean_preview.wav,clean,straight,false,,A_LITERAL 按版本策略选择同事件首个 ready clean take,2.716,main_attack,keep_silence,smart_fade_100ms,source_map_row_001,true,false,true,true,true
A_LITERAL,XWC_P01_N02,XWC_P01_N02,XWC_P01_LOCAL_PHRASE,SAN_GOU_5,T002,batch01,clean_previews/T002_clean_preview.wav,clean,straight,false,,A_LITERAL 按版本策略选择同事件首个 ready clean take,1.717,main_attack,keep_silence,smart_fade_100ms,source_map_row_002,true,false,true,true,true
A_LITERAL,XWC_P01_N03,XWC_P01_N03,XWC_P01_LOCAL_PHRASE,SAN_TIAO_7,T003,batch01,clean_previews/T003_clean_preview.wav,clean,straight,false,,A_LITERAL 按版本策略选择同事件首个 ready clean take,1.235,main_attack,keep_silence,smart_fade_100ms,source_map_row_003,true,false,true,true,true
A_LITERAL,XWC_P01_N04,XWC_P01_N04,XWC_P01_LOCAL_PHRASE,AN_RING_10_GOU_5,T004,batch01,clean_previews/T004_clean_preview.wav,clean,chuo,false,,A_LITERAL 按版本策略选择同事件首个 ready clean take,0.498,main_attack,keep_silence,smart_fade_100ms,source_map_row_004,true,false,true,true,true
A_LITERAL,XWC_P02_N01,XWC_P02_N01,XWC_P02_LOCAL_PHRASE,SAN_TIAO_7,T006,batch01,clean_previews/T006_clean_preview.wav,clean,straight,false,,A_LITERAL 按版本策略选择同事件首个 ready clean take,0.423,main_attack,keep_silence,smart_fade_100ms,source_map_row_006,true,false,true,true,true
A_LITERAL,XWC_P02_N02,XWC_P02_N02,XWC_P02_LOCAL_PHRASE,SAN_GOU_5,T007,batch01,clean_previews/T007_clean_preview.wav,clean,straight,false,,A_LITERAL 按版本策略选择同事件首个 ready clean take,0.513,main_attack,keep_silence,smart_fade_100ms,source_map_row_007,true,false,true,true,true
A_LITERAL,XWC_P02_N03,XWC_P02_N03,XWC_P02_LOCAL_PHRASE,SAN_TIAO_6,T008,batch01,clean_previews/T008_clean_preview.wav,clean,straight,false,,A_LITERAL 按版本策略选择同事件首个 ready clean take,0.316,main_attack,keep_silence,smart_fade_100ms,source_map_row_008,true,false,true,true,true
A_LITERAL,XWC_P02_N04,XWC_P02_N04,XWC_P02_LOCAL_PHRASE,AN_RING_10_GOU_4,T009,batch01,clean_previews/T009_clean_preview.wav,clean,chuo,false,,A_LITERAL 按版本策略选择同事件首个 ready clean take,1.526,main_attack,keep_silence,smart_fade_100ms,source_map_row_009,true,false,true,true,true
A_LITERAL,XWC_P02_N05,XWC_P02_N05,XWC_P02_LOCAL_PHRASE,SAN_TIAO_7,T011,batch02,clean_previews/T011_clean_preview.wav,clean,straight,false,,A_LITERAL 按版本策略选择同事件首个 ready clean take,2.629,main_attack,keep_silence,smart_fade_100ms,source_map_row_011,true,false,true,true,true
A_LITERAL,XWC_P02_N06,XWC_P02_N06,XWC_P02_LOCAL_PHRASE,AN_THUMB_9_GOU_4,T012,batch02,clean_previews/T012_clean_preview.wav,clean,chuo,false,,A_LITERAL 按版本策略选择同事件首个 ready clean take,2.805,main_attack,keep_silence,smart_fade_100ms,source_map_row_012,true,false,true,true,true
